date,Lewandowski robert,BMW,Mercedes
2020-04-01,63,79,83
2020-04-02,30,74,79
2020-04-03,27,76,84
2020-04-04,100,87,92
2020-04-05,0,86,86
2020-04-06,30,81,84
2020-04-07,0,87,80
2020-04-08,0,81,82
2020-04-09,0,75,96
2020-04-10,0,91,92
2020-04-11,0,91,91
2020-04-12,34,89,93
2020-04-13,28,86,91
2020-04-14,0,82,91
2020-04-15,71,80,90
2020-04-16,74,85,88
2020-04-17,0,82,90
2020-04-18,0,91,92
2020-04-19,67,92,94
2020-04-20,0,89,89
2020-04-21,0,82,93
2020-04-22,0,91,92
2020-04-23,52,83,85
2020-04-24,39,85,89
2020-04-25,49,92,97
2020-04-26,0,100,100
2020-04-27,0,86,94
2020-04-28,0,86,87
2020-04-29,0,87,89
2020-04-30,84,86,85
2020-05-01,41,88,91
BMW,BMW search volume,Mercedes,Mercedes search volume
bmw for sale,100,mercedes benz,100
bmw uk,90,mercedes for sale,70
bmw car,89,mercedes amg,66
bmw series 1,72,mercedes car,64
bmw 3 series,54,mercedes uk,59
used bmw,54,a class mercedes,52
bmw used,54,used mercedes,41
x5 bmw,52,c class mercedes,34
m3,42,mercedes sprinter,31
bmw cars,41,mercedes cars,31
bmw m3,41,bmw,29
bmw e46,40,e class mercedes,28
bmw m sport,35,mercedes coupe,24
audi,33,audi,23
bmw 5 series,30,mercedes vito,19
bmw e90,29,mercedes service,17
mercedes,29,mercedes van,17
bmw x3,26,cla,16
bmw parts,26,cla mercedes,16
bmw 320d,23,mercedes gla,16
bmw z4,23,glc mercedes,16
bmw convertible,22,mercedes me,15
m4 bmw,22,mercedes finance,15
m4,22,autotrader,14
autotrader,22,mercedes parts,14
